CVE ID,Description,CWE Mapping,References
** CVE-2023-21715,"**** An improper input validation vulnerability exists in Cisco Expressway Series due to insufficient handling of inputs in certain HTTP POST requests. An unauthenticated, remote attacker could exploit this vulnerability by sending a specially crafted HTTP POST request to the affected system. A successful exploit could allow the attacker to execute arbitrary code with system privileges on the target system.",**** CWE-200: Information Exposure,**** https://www.cisco.com/c/en/us/support/web/cisco-security-advisories/cisco-sa-expressway-xss-zPEqFvhs.html
** CVE-2023-21843,"**** An improper input validation vulnerability exists in Cisco IOS XE due to insufficient handling of inputs in certain HTTP POST requests. An unauthenticated, remote attacker could exploit this vulnerability by sending a specially crafted HTTP POST request to the affected system. A successful exploit could allow the attacker to execute arbitrary code with system privileges on the target system.",**** CWE-200: Information Exposure,**** https://www.cisco.com/c/en/us/support/web/cisco-security-advisories/cisco-sa-ios-xe-xss-E6i60PGL.html
** CVE-2023-21862,"**** An information disclosure vulnerability exists in Cisco Adaptive Security Appliance (ASA) due to insufficient handling of certain HTTP requests. An unauthenticated, remote attacker could exploit this vulnerability by sending a specially crafted HTTP request to the affected system. A successful exploit could allow the attacker to obtain potentially sensitive information about the target system.",**** CWE-200: Information Exposure,**** https://www.cisco.com/c/en/us/support/web/cisco-security-advisories/cisco-sa-asa-info-disclosure-z1Yi2XQC.html
** CVE-2024-38080,**** A vulnerability in Windows Hyper-V component allows an attacker to increase their account privileges on a Windows machine.,**** N/A,"**** [Microsoft Patch Tuesday, July 2024 Edition](https://krebsonsecurity.com/2024/07/microsoft-patch-tuesday-july-2024-edition/)"
** CVE-2024-38112,"**** A vulnerability in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser, allows attackers to exploit the vulnerability through an “attack chain” of exploits or programmatic changes on the target host. Successful exploitation requires additional actions prior to exploitation to prepare the target environment.",**** N/A,"**** [Microsoft Patch Tuesday, July 2024 Edition](https://krebsonsecurity.com/2024/07/microsoft-patch-tuesday-july-2024-edition/)"
** CVE-2024-38021,"**** A remote code execution flaw in Microsoft Office leads to the disclosure of NTLM hashes, which could be leveraged as part of an NTLM relay or “pass the hash” attack, allowing an attacker to masquerade as a legitimate user without logging in.",**** N/A,"**** [Microsoft Patch Tuesday, July 2024 Edition](https://krebsonsecurity.com/2024/07/microsoft-patch-tuesday-july-2024-edition/)"
** CVE-2024-38053,**** A security weakness in Windows Layer Two Bridge Network is another local network “ping-of-death” vulnerability that should be a priority for road warriors to patch.,**** N/A,"**** [Microsoft Patch Tuesday, July 2024 Edition](https://krebsonsecurity.com/2024/07/microsoft-patch-tuesday-july-2024-edition/)"
** CVE-2024-38080,**** A vulnerability in the Windows Hyper-V component of Windows 11 and Windows Server 2022 systems could allow an attacker to increase their account privileges on a Windows machine.,**** N/A,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38080
** CVE-2024-38112,"**** A vulnerability in MSHTML, the proprietary engine of Microsoft's Internet Explorer web browser, could allow exploitation through an ""attack chain"" of exploits or programmatic changes on the target host.",**** N/A,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38112
** CVE-2024-38021,"**** A remote code execution vulnerability in Microsoft Office could lead to the disclosure of NTLM hashes, which could be leveraged in an NTLM relay or ""pass the hash"" attack.",**** CWE-200 (Information Exposure),**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38021
** CVE-2024-38053,"**** A vulnerability in Windows Layer Two Bridge Network is another local network ""ping-of-death"" vulnerability that should be a priority for patching.",**** N/A,**** https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38053
** CVE-2024-38080,**** A bug in the Windows Hyper-V component that affects Windows 11 and Windows Server 2022 systems. CVE-2024-38080 allows an attacker to increase their account privileges on a Windows machine.,**** N/A,"**** Microsoft Patch Tuesday, July 2024 Edition"
