Question,Generated Answer,Correct Answer,Evaluation
Which of the following mitigations involves preventing applications from running that haven't been downloaded from legitimate repositories?,B,B,Correct
Which data source is recommended for monitoring commands that may circumvent mechanisms designed to control elevation of privileges?,C,D,Incorrect
What does mitigation ID M1028 suggest to prevent privilege escalation exploits on a system?,C,C,Correct
Which process creation is an indicator of potential SYSTEM privilege escalation according to the detection section?,A,B,Incorrect
"In a Linux environment, what is recommended to monitor for detecting privilege escalation via sudo?",D,C,Incorrect
What mitigation ID suggests requiring a password every time sudo is executed to manage privileged accounts?,B,B,Correct
"An adversary leveraging the technique ""Abuse Elevation Control Mechanism: Setuid and Setgid"" is targeting which systems from the MITRE ATT&CK Enterprise matrix?",A,D,Incorrect
Which of the following commands would an adversary use to find files with the setgid bit set on a UNIX-based system?,A,A,Correct
Which mitigation strategy from the MITRE ATT&CK framework is recommended to counteract the abuse of setuid and setgid bits?,B,B,Correct
Which data source should you monitor to detect changes indicating abuse of setuid or setgid bits on files?,D,D,Correct
"Which mitigation technique, designated as M1026 under MITRE ATT&CK, should be implemented to limit permissions for users and user groups in creating tokens?",D,D,Correct
"Considering MITRE ATT&CK (Enterprise), which tool is known for its ability to create tokens from known credentials as part of its procedures?",D,B,Incorrect
"According to MITRE ATT&CK, which tool did the Night Dragon adversaries use for cracking password hashes?",C,D,Incorrect
Which specific data source should be monitored to detect failed authentication attempts that could indicate a brute force attack?,A,D,Incorrect
What mitigation strategy does MITRE ATT&CK suggest to defend against password cracking by adversaries?,C,C,Correct
How does T1110.001 (Brute Force: Password Guessing) typically try to achieve credential access?,B,B,Correct
APT29 (G0016) used T1110.001 to attack which type of targets?,C,C,Correct
Why are LDAP and Kerberos connection attempts less likely to trigger events compared to SMB?,B,B,Correct
Which mitigation can help prevent T1110.001 attacks but might cause a denial of service if too strict?,C,C,Correct
Which service is commonly targeted by T1110.001 via TCP port 1433?,D,D,Correct
Which tool allows brute-forcing across an entire network as part of T1110.001?,C,C,Correct
In which scenario might an adversary combine brute forcing activity with External Remote Services?,A,A,Correct
Which group used a script to attempt RPC authentication during the 2016 Ukraine Electric Power Attack?,B,B,Correct
"According to the MITRE ATT&CK framework, which technique ID corresponds to Brute Force?",A,C,Incorrect
Which procedure example includes the use of Ncrack to reveal credentials?,A,A,Correct
What mitigation strategy involves setting account lockout policies after a certain number of failed login attempts?,D,B,Incorrect
"Considering the MITRE ATT&CK technique T1185 (Browser Session Hijacking), what specific functionality does Agent Tesla leverage to collect user information?",A,A,Correct
Which permission is typically required to execute browser-based pivoting behaviors in the context of T1185?,A,C,Incorrect
What is one method used by adversaries to inherit cookies and authenticated sessions in T1185?,B,B,Correct
Which mitigation could help restrict exposure to browser pivoting techniques like T1185?,A,C,Incorrect
How does Grandoreiro implement browser session hijacking techniques?,B,B,Correct
"In the context of MITRE ATT&CK technique T1217 (Browser Information Discovery), which of the following threat actors has specifically used type ""\\c$\Users\\Favorites\Links\Bookmarks bar\Imported From IE*citrix* for bookmark discovery?",A,B,Incorrect
"Which MITRE ATT&CK technique number and name corresponds with adversaries retrieving browser history as seen with DarkWatchman, Dtrack, and Lizar?",A,A,Correct
Security professionals monitoring for T1217 should focus on which data sources to detect potential browser information discovery activities?,B,D,Incorrect
What type of specific data example stored in `%APPDATA%/Google/Chrome` might signal an instance of T1217 - Browser Information Discovery?,C,C,Correct
"In the context of MITRE ATT&CK (Platform: None), how can adversaries use browser extensions to maintain persistence on a victim's system?",D,D,Correct
Which malicious activity performed by adversaries is linked to the MITRE ATT&CK technique T1176 (Browser Extensions)?,B,C,Incorrect
Which mitigation technique can help prevent the installation of unauthorized browser extensions as per the MITRE ATT&CK framework?,B,B,Correct
What is a key recommendation for maintaining security related to browser extensions according to MITRE ATT&CK?,B,B,Correct
"According to the MITRE ATT&CK framework, how did macOS 11+ change the installation method for browser extensions compared to earlier versions?",C,C,Correct
Which mitigation control is detailed in the document to prevent adversarial modifications to StartupItems?,C,C,Correct
Which data source is suggested to monitor for unexpected modifications in the /Library/StartupItems folder?,D,D,Correct
Which adversary technique involves modifying startup scripts on Unix-like systems to establish persistence? (ID: T1037.004),C,C,Correct
Which group has been known to add an entry to the rc.common file for persistence? (ID: T1037.004),A,C,Incorrect
What mitigation strategy is recommended to prevent unauthorized editing of the rc.common file? (ID: M1022),C,C,Correct
Which mitigation is recommended for restricting write access to network logon scripts?,C,C,Correct
What type of data source should be monitored to detect modifications in Active Directory related to network logon scripts?,D,D,Correct
What methodology do adversaries use to establish persistence via Login Hook according to MITRE ATT&CK technique T1037.002?,B,B,Correct
Which of the following is a deprecated method for executing scripts upon user login in macOS 10.11 and later?,C,C,Correct
"According to MITRE ATT&CK's Detection guidelines for T1037.002, which data source should be monitored to detect changes to the login hook files?",D,D,Correct
"Which of the following tools has been known to rely on parent PID spoofing as part of its ""rootkit-like"" functionality?",A,C,Incorrect
Which threat group is known for hijacking legitimate application-specific startup scripts for persistence using technique T1037 (Boot or Logon Initialization Scripts) on the Enterprise platform?,A,B,Incorrect
Which mitigation strategy involves ensuring proper permission settings for registry keys to prevent unauthorized modifications to logon scripts on the Enterprise platform?,C,C,Correct
Monitoring which data source can help detect unauthorized modifications to logon scripts in the Active Directory as part of defending against technique T1037 (Boot or Logon Initialization Scripts)?,D,D,Correct
Which technique ID refers to adversaries creating cloud instances in unused geographic service regions to evade detection in MITRE ATT&CK?,C,C,Correct
"In the context of MITRE ATT&CK, which mitigation strategy is recommended to prevent adversaries from utilizing unused cloud regions for Defense Evasion?",A,A,Correct
Which tactic does MITRE ATT&CK technique T1550.001 pertain to?,A,C,Incorrect
What is the primary purpose of application access tokens as described in T1550.001?,B,B,Correct
Which OAuth-related action can an adversary perform using a compromised access token in cloud-based email services?,C,C,Correct
"During the SolarWinds Compromise (C0024), what specific method did APT29 use to make changes to the Office 365 environment?",C,C,Correct
Which mitigation strategy advises the use of token binding to cryptographically secure an application access token?,A,A,Correct
"According to Detection insights for T1550.001, what activity should be monitored to detect misuse of application access tokens?",B,C,Incorrect
What is the purpose of the Pass the Hash technique (T1550.002) in cyber threat intelligence?,B,B,Correct
Which of the following groups has used tools such as Mimikatz for lateral movement via captured password hashes according to MITRE ATT&CK?,A,B,Incorrect
How does 'Overpass the Hash' differ from 'Pass the Hash'?,B,B,Correct
What Windows Security event ID may indicate the use of Pass the Hash for lateral movement between workstations?,A,B,Incorrect
Which mitigation strategy could help prevent the effectiveness of Pass the Hash attacks?,C,C,Correct
Which tool is capable of performing Pass the Hash on x64 versions of compromised machines according to MITRE ATT&CK?,A,C,Incorrect
Under which scenario can a Silver Ticket be utilized based on MITRE ATT&CK T1550.003?,A,C,Incorrect
"According to MITRE ATT&CK T1550.003, what specific method does Mimikatz use to extract the krbtgt account hash?",B,C,Incorrect
Which mitigation measure can reset the KRBTGT account password twice to invalidate existing golden tickets?,A,D,Incorrect
How can APT32 use Pass the Ticket as per MITRE ATT&CK T1550.003?,A,C,Incorrect
"Which event ID can help detect the misuse of an invalidated golden ticket, according to MITRE ATT&CK T1550.003?",B,B,Correct
"Given the MITRE ATT&CK technique T1550.004, which mitigation strategy can be employed to reduce the risk of session cookie misuse?",D,D,Correct
"During the SolarWinds Compromise, which threat actor is associated with using stolen cookies to bypass multi-factor authentication for cloud resources?",D,B,Incorrect
Which of the following groups used spearphishing emails to lure targets into downloading a Cobalt Strike beacon? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),A,B,Incorrect
Which mitigation strategy recommends blocking unknown or unused files in transit by default when a link is being visited? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),A,B,Incorrect
What detection method involves monitoring newly constructed web-based network connections sent to malicious or suspicious destinations? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),B,B,Correct
Which adversary group has used OneDrive links for users to download files for execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),No content generated.,D,Incorrect
What file types are specifically recommended to be blocked in transit as a part of web-based content restriction? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),B,B,Correct
Which group employed URLs hosted on Google Docs to host decoys that lead to execution? (MITRE ATT&CK T1204.001: User Execution: Malicious Link),A,A,Correct
"According to MITRE ATT&CK technique T1204.002, which of the following file types have NOT been mentioned as examples of files that adversaries can use to execute malicious code?",C,B,Incorrect
Which cyber threat group used malicious Microsoft Office attachments with macros during the 2015 Ukraine Electric Power Attack?,A,A,Correct
"In the context of MITRE ATT&CK T1204.002, which mitigation strategy involves using specific rules on Windows 10 to prevent execution of potentially malicious executables?",A,B,Incorrect
Which tool has been spread through users' interaction with malicious .zip and .msi files as per MITRE ATT&CK pattern T1204.002?,A,A,Correct
Which data source can be monitored for detecting file creation events to identify malicious activity under MITRE ATT&CK technique T1204.002?,C,C,Correct
"In the ATT&CK pattern T1204.002, which cyber threat group has utilized malicious Microsoft Word and PDF attachments sent via spearphishing?",A,A,Correct
Which of the following mitigation strategies involves the use of digital signatures to ensure the integrity and publisher of specific image tags?,B,B,Correct
What is one of the primary strategies adversaries use in the T1204.003 technique to increase the likelihood of users deploying their malicious images?,D,C,Incorrect
Which data source would be most effective in detecting the creation of new containers from potentially malicious images?,C,C,Correct
The cyber threat group TeamTNT is known for relying on which of the following methods to execute their attacks?,No content generated.,B,Incorrect
"In the context of MITRE ATT&CK Enterprise, which tool uses the MISC::AddSid module for SID-History Injection?",D,B,Incorrect
Which of the following is a mitigation strategy for SID-History Injection according to the MITRE ATT&CK framework?,C,C,Correct
Which of the following techniques is associated with the ID T1134.005 in the context of MITRE ATT&CK?,A,A,Correct
